Job Id,Job URL,Job Title,Company,Job Location,Job Industry,Job Description,Job Employment Type,Job Minimum Experience,Job Salary Range,skills,Job Posting Date
MCF-2025-0507079,https://www.mycareersfuture.gov.sg/job/information-technology/microsoft-dynamics-365-support-developer-contract-manpower-staffing-services-0d7d6562bcbf38862e00576730479d9f?source=MCF&event=Search,Microsoft Dynamics 365 Support Developer | Contract,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,-,Information Technology,"Job Scope:
Support and Maintenance:
Address any queries about the application / issues from the users.
Provide technical support for MS Dynamics 365 applications, troubleshoot, root cause analysis, and resolve complex issues to ensure system stability and performance.
Coordinate with the business users / stakeholders to conduct user acceptance testing (UAT) for the bug resolved before deployments.
Ensure issues are resolved with quality resolution within the stipulated service level agreement (SLA).
Monitor system performance, jobs, and logs and highlight / address any abnormality.
Maintenance of common libraries such as upgrading common libraries.
Follow up on any security findings and provide fixes based on the inputs from security team.
Handle activity queries such as data extraction requests, triage the queries from users, and data patching requests.
Attend deployment management meeting to get incidents’ deployment approval.
Abide to change management process (i.e., deployment) for updates / fixes / solutions to be deployed in each environment.
Update incident ticket details, status, and upload artifacts in a timely manner.
Escalate defects caused by other dependencies such as SMEs, third parties, and vendors for support.
Update and deliver configuration and design documentations if needed.
Ad hoc support outside office hours.
Handling of Service Requests:
Analyze, design, present, develop and implement solutions that meets the needs of users and ensuring scalability and stability.
Customize and configure MS Dynamics 365 applications to align with business processes, including the creation of custom entities, workflows, and plugins.
Develop and maintain integrations between MS Dynamics 365 and other systems using Azure Integration Services, including Azure Functions, Logic Apps, and API Management.
Conduct unit testing for the feature build.
Coordinate with users for the test cases. Users to provide the test scenarios / test cases for UAT.
Fix any issues raised during system integration testing and user acceptance testing.
Conduct impact analysis assessment, estimation, document the technical design.
Collaboration:
Collaborate with cross-domain technical developers, leads, and infrastructure team to address problems caused by other domains / infrastructure network.
Collaborate with the organization's business users.
Team player and provide guidance to the team.
Job Qualifications:
Degree in Information Technology or equivalent.
5 years of experience in Microsoft Dynamics 365 modules e.g. Service App.
Proficiency in MS Dynamics 365, Power Platform, Microsoft Azure (such as Azure Functions, Logic Apps, and API Management).
Experience using Azure DevOps.
Understanding of MS Dynamics 365 architecture and functionalities.
Knowledge of MS Dynamics 365 configuration, customization, deployment, and administration.
Experience with CRM administration, custom workflows, plugins, web resources, form / fields customizations.
Programming skills using C#, Javascript, HTML.
Good communication and collaboration skills.
Excellent analytical and problem-solving skills. Ability to perform root cause analysis and resolve complex issues.
Ability to understand business requirements and translate into design.
Ability to work independently and as part of team.
Experience with integration technologies and tools.



Interested candidates can click apply for more information.

** We regret to inform that only shortlisted candidates will be notified. **

We respect your privacy and all communication will be treated with confidentiality. If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants.

Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012.

Rallonza Bernice Mae Nocum | EA License No. 02C3423 Personnel | Registration No. R1442141",Contract,5 years exp,"$9,500to$10,000","CRM
Microsoft Azure
UAT
Dynamics
HTML
Unit Testing
Root Cause Analysis
Data Integration
Information Technology
Service Level
Microsoft Dynamics 365
Microsoft Dynamics
User Acceptance Testing
System Integration Testing
C#
API
Technical Design",Posted 08 Apr 2025
MCF-2025-0521630,https://www.mycareersfuture.gov.sg/job/insurance/general-insurance-executive-persolkelly-singapore-ed0f5853f0d5e8bb61f9ae4f46adab8e?source=MCF&event=Search,General Insurance Executive (ID: 584995),PERSOLKELLY SINGAPORE PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Insurance,"Job Description
Deliver sales targets and meet key performance indicators (KPIs) which includes sales targets, call quality and operational standards
Conduct telemarketing calls to promote insurance products with clear product knowledge and references, to existing and prospective customers
Identify opportunities to cross-sell and up-sell
Convert leads provided by the company to sales through telemarketing activities
Ensure all call activities are conducted with full adherence to regulations and in line with Quality Assurance standards
Update customer information in the database

Requirements
Prior experience working in telemarketing or sales function and/or the financial services sector preferred
Comfortable with outbound calls and stakeholder interactions
Confident communicator with good verbal skills
Sufficiently resilient to handle rejection and objections from customers
Persuasive and committed to meet/exceed sales targets
Sales-driven and possess a can-do attitude

Interested candidates who wish to apply for the advertised position, please click on “Apply”. We regret that only shortlisted candidates will be notified.
EA License No.: 01C4394 (PERSOLKELLY Singapore PTE LTD)
By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.",Permanent,1 year exp,"$3,000to$4,000","Product Knowledge
Upselling
Telesales
Telemarketing
Quality Assurance
Interpersonal Skills
Critical Thinking
Cold Calling
General Insurance
Verbal Skills
Communication Skills
Sales and Business Development
Customer Service
Job Search
Financial Services",Posted 10 Apr 2025
MCF-2025-0523295,https://www.mycareersfuture.gov.sg/job/sales/product-development-sales-executive-persolkelly-singapore-e89e283663466dbbd9963c22627390ae?source=MCF&event=Search,Product Development Sales Executive,PERSOLKELLY SINGAPORE PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Sales / Retail,"Our Client is a key provider of energy solutions and multi-utilities
Duration: 12 months extendable/convertible
Working Location: Somerset (walking distance from MRT)
Working hours: 08.30am – 6.00pm (Monday to Friday)

Job Duties
· Support the development of different products
· Support the development and implementation of sales strategies and initiatives
· Assist in the daily operational management of various products including REC
· Coordinate with different stakeholders, cross-departmental teams, vendors and customers to ensure seamless workflow and communication
· Manage processes for registration, verification, and retirement of renewable projects
· Handle inquiries, provide training and resolve issues related to active products

Requirements:
· Degree in Business, Finance, Economics, or any Engineering discipline
· Detail-oriented, strong organizational and multitasking skills
· Excellent communication and interpersonal abilities
· Driven and resourceful, able to work independently and as part of a team
· Strong collaboratively skill with cross-functional teams
· Proficiency in Microsoft Office suite (Excel, PowerPoint, Excel)
· Experience in the renewables sector is a plus

Interested candidates, please click on the following link to begin your job search journey and submit your curriculum vitae (CV) directly through the official PERSOLKELLY job application platform - GO.

https://sg.go.persolkelly.com/job/apply/12275

Contact number: 8189 1194

We regret to inform that only shortlisted candidates will be notified.
By sending us your personal data and CV, you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for account creation in GO and the purposes set out in the Privacy Policy https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with GO’s Terms of Use https://go.persolkelly.com/Tac and the Privacy Policy. If you wish to withdraw your consent, please email us at dataprotection@persolkelly.com. Please feel free to contact us if you have any queries.
PERSOLKELLY Singapore Pte Ltd • UEN No. 200007268E• EA License No. 01C4394• Reg. • R1981246 • Bertram Lee Kian Hui","Contract, Full Time",2 years exp,"$2,800to$4,000","Ability to Multitask
Microsoft Office
Entertainment
Multitasking Skills
Economics
PowerPoint
Event Planning
Arithmetic
Administrative Support
Excel
Product Development
Job Search
Sourcing
Retirement
Able To Work Independently",Posted 10 Apr 2025
MCF-2025-0523312,https://www.mycareersfuture.gov.sg/job/admin/shipping-cum-logistics-officer-persolkelly-singapore-df5fdd8e2eac2bd2db94a3cbc19dc896?source=MCF&event=Search,Shipping cum Logistics Officer (12 months contract),PERSOLKELLY SINGAPORE PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623","Admin / Secretarial, Customer Service, Logistics / Supply Chain, Manufacturing","Job Description / Responsibilities:

· Manage and oversee the end-to-end process of import and export shipments, ensuring punctual and precise delivery from origin to destination
· Track shipment progress and consistently update stakeholders to maintain transparency and operational clarity
· Prepare and compile export documents and required supporting materials to facilitate regulatory compliance and seamless processing
· Ensure adherence to international trade regulations, customs requirements, and internal company policies for all shipments
· Work closely with freight forwarders to address and resolve any logistical or transportation-related challenges
· Maintain a well-organized and secure system for storing customs documentation, ensuring easy access and compliance readiness
· Perform additional tasks and responsibilities as assigned

Job Requirements :

· Diploma in Business Admin, Shipping and Logistics, Supply chain management and other related studies
· Minimum 2 years of related working experiences in an International trading/manufacturing environment.
· Experience in preparation of shipping documents for import & export shipments
· Proficient in MS office applications (Knowledge of SAP/Oracle is advantageous)
· A team player with strong interpersonal and communication skills is critical to work collaboratively with internal teams, customers, vendors, and other third-party partners.
· Able to work independently in a dynamic environment

Location : East - 5 days

Salary : $S3,000.00 – S$4,000.00

Interested candidate please click ""APPLY"" to begin your job search journey and submit your CV directly through the official PERSOLKELLY job application platform - GO Mobile.

Interested applicants please send your resume to Teresa_chan@persolkelly.com

We regret that only short-listed candidates will be notified.

PERSOLKELLY Singapore Pte Ltd EA License No. 01C4394 I RCB No. 200007268E EA Reg. No. R1107631
By sending us your personal data and CV, you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for account creation in GO and the purposes set out in the Privacy Policy https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with GO’s Terms of Use https://go.persolkelly.com/Tac and the Privacy Policy. If you wish to withdraw your consent, please email us at dataprotection@persolkelly.com. Please feel free to contact us if you have any queries.",Contract,1 year exp,"$3,000to$4,000","Regulatory Compliance
Inventory
Supply Chain
Customer Supply Chain
Transparency
MS Office
Supply Chain Services
Compliance
Freight
Transportation
Communication Skills
Supply Chain Management
Team Player
Customer Service
Supply Chain & Logistics
Import Export
Shipping
International Trade
Able To Work Independently",Posted 10 Apr 2025
MCF-2025-0522779,https://www.mycareersfuture.gov.sg/job/information-technology/business-analysis-executive-somerset-persolkelly-singapore-c9b81beefda48c3f88b3bc979685a1cb?source=MCF&event=Search,Business Analysis Executive (Power Industry) | Somerset ~,PERSOLKELLY SINGAPORE PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Information Technology,"Our Client is a key provider of energy solutions and multi-utilities
Duration: 12 months extendable/convertible
Working Location: Somerset (walking distance from MRT)
Working hours: 08.30am – 6.00pm (Monday to Friday)

Job Duties
· Support sales team to compute pricing levels of all electricity contracts, and any other products or services, offered and sold by TPS, such that they are comparable to the market and meeting the objectives of the Group
· TPS currently retail electricity, utilities, gas and other related products and services
· Compute and consolidate the hedging requirement of our fuel cost to support our electricity sale
· Administer the allocation of our generation capacity to the sales team
· Perform long and short terms customers demand forecasting
· Support in the development of new products and services
· Support the development of annual budgets, strategic plans and any other planning
· Perform analysis for the various businesses (new or existing)
· Ensure the proper updating of relevant demand, pricing and contracts databases
· Financial and performance reporting
· Any other ad-hoc duties assigned

Requirements:
· Degree in Business/ Finance/ Accounting/ Mathematics/ Computer Science/ Engineering
· Proficient in Microsoft Office (Excel, PowerBI, PowePoint)
· Familiarity with any programming is a plus
· Good attention to details with commercial acumen
· A team player.

Interested candidates, please click on the following link to begin your job search journey and submit your curriculum vitae (CV) directly through the official PERSOLKELLY job application platform - GO. https://sg.go.persolkelly.com/job/apply/12073

Contact number: 8189 1194

We regret to inform that only shortlisted candidates will be notified.

By sending us your personal data and CV, you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for account creation in GO and the purposes set out in the Privacy Policy https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with GO’s Terms of Use https://go.persolkelly.com/Tac and the Privacy Policy. If you wish to withdraw your consent, please email us at dataprotection@persolkelly.com. Please feel free to contact us if you have any queries.
PERSOLKELLY Singapore Pte Ltd • UEN No. 200007268E• EA License No. 01C4394• Reg. • R1981246 • Bertram Lee Kian Hui","Contract, Full Time",3 years exp,"$3,000to$4,000","TPS
Sales
Demand Forecasting
Microsoft Office
Hedging
Annual Budgets
Mathematics
PowerBI
Accounting
Attention to Details
Excel
Team Player
Job Search
Pricing
Databases",Posted 10 Apr 2025
MCF-2025-0157765,https://www.mycareersfuture.gov.sg/job/customer-service/industrial-relations-officer-east-wc3-wecruit-2667dffd8a2fa8a7ff2b37ba70686012?source=MCF&event=Search,Industrial Relations Officer (Maritime) - East - WC3,WECRUIT PTE. LTD.,-,"Customer Service, Public / Civil Service","Scope of Work:
Promote and build good industrial relations by working closely with members and shipping management, to achieve a harmonious industrial relations climate that will bring the maximum benefits to our seafaring members
Handling grievances, resolve conflicts and negotiate collective agreements to secure the welfare for the seafarers
Helping fellow seafarer members earn a better living, and a better live
Advocate practices to help seafarers up-skill and enhance productivity, in order to earn better wages and improve lives
Opportunities will be given to undertake research on maritime issues that will impact at a company, national or international level
Plan and organise activities that promote bipartite and tripartite relationship

Job Requirements:
With a minimum Diploma in maritime
Relevant working experience in the maritime sector is advantageous
Excellent interpersonal skills and able to communicate at all levels
Strong analytical and problem-solving skills
Able to think on-the-feet
Able to work independently as well as in a team
High perseverance and passion
Fresh graduates from relevant study are encouraged to apply

We regret only shortlisted candidates will be contacted. All applications will be handled confidentially. By submitting your application, you agree to the collection, use, retention, and disclosure of your personal information to prospective employers.

Wecruit Pte Ltd
EA License No: 20C0270","Permanent, Full Time",1 year exp,"$3,500to$4,500","Communication
negotiate
Interpersonal Skills
Strong personality
Relationship Management
marine industries
problem solving skills
Maritime
Grievances
Building Relationships
Industrial Relations
Able To Work Independently",Posted 10 Apr 2025
MCF-2025-0499141,https://www.mycareersfuture.gov.sg/job/information-technology/project-manager-persolkelly-singapore-2c31457ad788b866a9d25e8454e79de4?source=MCF&event=Search,Project Manager (Gen AI & SaaS Applications) (PRIT),PERSOLKELLY SINGAPORE PTE. LTD.,-,Information Technology,"We are seeking an experienced Senior Project Manager to lead and manage complex projects spanning multiple business segments. You will be responsible for overseeing the full project life cycle, from initiation to deployment, ensuring projects are delivered on time, within budget, and meet quality standards.

This role requires strong leadership, effective communication, and expertise in managing cross-functional teams and stakeholder relationships.
Responsibilities:
Lead and manage a portfolio of complex projects aligned with strategic business objectives.
Build, motivate, and lead project teams to meet goals and milestones.
Oversee all aspects of project management, including planning, resource allocation, budgeting, risk management, and change control.
Develop and manage detailed project plans, timelines, and estimates.
Monitor project progress and provide status updates to leadership.
Manage vendor relationships, contracts, and negotiations.
Ensure projects adhere to SDLC methodologies (Agile, SCRUM) and quality standards.
Resolve project issues, conflicts, and risks proactively.
Deliver executive-level communications and presentations.
Support continuous process improvements within the organization.
Required Skills & Experience:
Bachelor's degree (preferably in a related field).
Proven experience in delivering successful projects within scope, schedule, and budget.10+ years of IT project management experience, with a proven track record of managing large, complex projects.
Good to have Enterprise application under real estate domain.
Expertise in SDLC methodologies (Agile, SCRUM) and project management tools (MS Project, Excel, PowerPoint).
Strong leadership, communication, and interpersonal skills.
Experience managing cross-functional teams and executive-level stakeholders.
Ability to adapt to shifting priorities and demands.

This role offers an opportunity to drive impactful change in a fast-paced, collaborative environment.

Interested candidates, who wish to apply for the advertised position, please email us an updated copy of your resume. We regret that only shortlisted candidates will be notified.

EA License No.: 01C4394 EA Registration No. R1873450 By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy",Permanent,10 years exp,"$8,500to$11,000","Vendor Relationships
Change Management
Budget Plan
Interpersonal Skills
Software Project Management
SDLC
Risk Management
MS Project
Procurement
PowerPoint
Enterprise Systems
Enterprise Software
Project Management
Change Control
Agile Scrum
Budgeting
Excel
Real Estate
UAT testing
project management support",Posted 07 Apr 2025
MCF-2025-0498949,https://www.mycareersfuture.gov.sg/job/information-technology/lab-services-consultant-%E2%80%93-hwa-admin-hcl-singapore-6fcbdad0c84b911059773dc244a2485b?source=MCF&event=Search,Lab Services Consultant – HWA Admin (L3),HCL SINGAPORE PTE. LTD.,-,Information Technology,"HCL Workload Automation Lab services team is looking for a Lab Services Consultant to help drive business growth through Professional services delivery and Migration Center of Excellence (COE) improvement.

The HCL Software Lab Services team is a global organization responsible for delivering Professional Services to enable customers to gain their business values quickly by implementing HCL Workload Automation Solution.

Primary Focus for this consultant will be providing expert consultancy to customer, owning migration and implementation projects from initial client assessment to successful completion, partnering with other teams in the organization and with the client.

Responsibilities
The Workload Automation Consultant is a customer-facing role that:
Takes a solution and consultative approach to identify, progress, implement and close projects at customer site, working closely across the HCL Software, as well as with the broader HCL Technologies teams.
Provides proactive technical support to customers and has ownership for resolving technical issues that may arise during customer projects.
Understand customer needs, transform them in software requirements and develops them in company products.
Research, design, implement and manage software programs, including:
- New programs tests and evaluation
- Identification of modification/improvement areas for existing programs
- Efficient and quality code production
- Follows standard quality processes and metrics
Works closely with other developers to capitalize on strategic assets growth.
Delivers lab services billable consulting work, being measured on Billable Utilization rate as a function of time-reporting.
Has an improvement focused approach and will recommend improvements to process and tools.
Has a flexible approach to work to ensure that projects are completed in scope and on time.
The Professional Consultant might be required to travel and work at customer sites.
Engage in the pre-sale cycle and will provide Infrastructure consultancy, including audits and assessments to support the sales team in their proposals.
Essential Requirements (Skills Requirements)
Bachelor’s Degree/ Master's Degree in Engineering/Information Technology/ Computer Science or any relevant field.
10 to 15 Years of experience in delivery and software development.
Proficiency in English language.
Workload automation knowledge (tools IWS/Control-M CA etc.), with proven expertise as a Workload automation operator/administrator (tools IBM Workload Scheduler / BMC Control-M CA schedulers etc...).
Main distributed OS knowledge, plus related DBs’ .
Exhibits a strong communication style with maturity to be able to adjust his style to get the best from the situation.
Excellent presentation skills, and will be proficient in the use of a variety of presentation tools.
Good self-awareness and will be able to identify when influencing and/ or negotiation skills are needed.
Experience of developing accurate and concise project documentation that will be used by colleagues and customers.
Experience delivering and leading technical engagements, has the technical knowledge and the maturity to be accepted as expert in his technology field.
Open to 24/7 support and working in shifts.
Technical / Professional Skills
Core IWS / HWA administration.
Experience in installing and upgrading MDM, BMDM.
Troubleshooting IWS / HWA admin issues.
Good knowledge and experience of Customer certificate integration.
Handing communication issues with FTA and Dynamic agents.
Experience in IWS / HWA server migrations.
Sound knowledge on scripting and familiarity with Windows/UNIX environment.
Knowledge in understanding and modification of shell, python, windows scripts in new platforms.
Developing new shell, python, windows scripts in new platform.
Good knowledge on general concepts of job scheduling in IWS / HWA.
Sound knowledge in IWS / HWA architecture and components.
Adding/modifying/updating jobs on IWS / HWA using TWDC GUI.
Adding/modifying/updating of jobs on IWS / HWA using command line interface (conman and composure).
Mass job creation, modification.
Scheduling jobs in IWS / HWA for applications like SAP, People Soft etc.
Fixing of job failures and debugging skills of job failures.
Action ad hoc request on active job scheduling environment.
Handling outages and DR scenarios.
Troubleshooting Agents, Communication issues.
Generate Reports in usual formats and delivery.
Verse in forecasts, scheduling criteria, attributes, job definitions and reporting.
IWS / HWA agent’s installations in Windows and Unix environments.
Monitoring, daily critical schedules and proactively identifying the issues.
Non-Technical / Soft Skills
Good communication skills to interact with customers.
Good understanding of ITIL process.
GOOD TO HAVE
Expertise in Software programming in one or more of the following:
Java SE
Maven build tool
IDE (Eclipse, Intellij etc.)
OOP programming and design patterns
Github workflow
MongoDB nosql database
Scripting/programming knowledge (Java, Perl, python)
OS skills Windows UNIX",Full Time,10 years exp,"$9,000to$11,000","Perl
MongoDB
Eclipse
Customerfacing
Design Patterns
Unix
Soft Skills
Workload Automation
Maven
Good Communication Skills
ITIL
OOP
Debugging
Research Design",Posted 07 Apr 2025
MCF-2025-0420104,https://www.mycareersfuture.gov.sg/job/food-and-beverage/full-time-cake-packer-boon-lay-four-leaves-84da799ba879cb50d30e5413d5482992?source=MCF&event=Search,Full Time Cake Packer (Central Kitchen) @ Boon Lay,FOUR LEAVES PTE. LTD.,37 CHIN BEE CRESCENT 619903,"F&B, Manufacturing","📍 37 Chin Bee Crescent (Near Boon Lay/ Lakeside MRT station)
⏰ 5am-2pm (OT when required) - New hires will commence work at 7am for training
📆 Every 4days of work, 1day off cycle


Job Responsibilities:
Accurately pack cakes and other baked items.
Carefully read and interpret order lists from various outlets, ensuring accurate understanding of quantities and specifications.
Organize packed orders according to delivery routes and drivers' schedules.
Coordinate with other team members to meet daily packing quantities.
Assist in maintaining cleanliness and organization in the packing area.
Other duties assisgned by the Supervisor/ Manager from time to time within the department.

Job Requirements:
SINGAPOREANS ONLY
No experience required as training will be provided.
MUST be physically fit - as required to stand for long hours and lift heavy items (when needed).
Strong attention to detail and accuracy.
Ability to work in a fast-paced environment, team-oriented setting.
MUST be able to follow the 4days 1off work cycle (includes both weekends & public holidays).

Staffs' Benefits:
Annual & Medical leaves
Medical claim
AWS/ VB
Annual salary adjustment (based on individuals' work performances)
Attendance allowance
Weekends & PH shift allowances
OT payable

📱 Interested applicants, you may Whatsapp your details to 8494 4246 OR Tele: @fourleaveshr","Permanent, Full Time",No exp required,"$1,600to$2,500","Order Picking
Food Packaging
Food Safety
Strong Attention To Detail
Cakes
Food Industry
Food Manufacturing
Physically Fit
order process
Food hygiene
Teamoriented
Bakery
Work in a Fast Paced Environment",Posted 10 Apr 2025
MCF-2025-0420335,https://www.mycareersfuture.gov.sg/job/food-and-beverage/full-time-trainee-assistant-baker-four-leaves-c6ba1062d1624484ef2e9153bac2867f?source=MCF&event=Search,Full Time Trainee Assistant Baker (Danish Pastry Department),FOUR LEAVES PTE. LTD.,37 CHIN BEE CRESCENT 619903,"F&B, Manufacturing","📍 37 Chin Bee Crescent (Near Boon Lay/ Lakeside MRT station)
⏰ 7am-4pm (OT when required)
📆 Every 4days of work, 1day off cycle

Job Responsibilities:
Assist in preparing and assembling pastries and other dough items.
Picking and packing of frozen doughs.
Operate and maintain baking equipment (e.g., dough sheeters).
Maintaining products schedule and quality standards.
Maintain a clean and safe working environment adhering to food hygiene and safety guidelines.
Work collaboratively with team members to ensure efficient production.

Job Requirements:
SINGAPOREANS ONLY
No experience required as training will be provided
MUST be physically fit - as required to stand for long hours and carry heavy loads.
Strong attention to detail and ability to follow instructions meticulously.
Ability to work in a fast-paced environment.
MUST be able to follow the 4days 1off work cycle (inclusive of weekends & public holidays).

Staffs' Benefits:
Annual & Medical leaves
Medical claims
AWS/ VB
Annual salary adjustment (based on individuals' work performances)
Attendance allowance
Weekends & PH shift allowances
OT payable

📱 Interested applicants, kindly Whatsapp your details to 84944246 OR Tele: @fourleaveshr","Permanent, Full Time",No exp required,"$1,600to$2,500","Food Safety
Strong Attention To Detail
Food Quality
Sanitation
Food Industry
packing orders
Physically Fit
Compliance
Baking
Production Line
Food hygiene
Assembling
Work in a Fast Paced Environment
Pastry",Posted 10 Apr 2025
MCF-2025-0499438,https://www.mycareersfuture.gov.sg/job/consulting/asst-manager-prit-persolkelly-singapore-20838b9a75d330f6361906798bed1cbb?source=MCF&event=Search,Asst. Manager (ERP & Sales System) - PRIT,PERSOLKELLY SINGAPORE PTE. LTD.,-,"Consulting, Information Technology","We are seeking a proactive individual to manage the Sales Contract System (SCS), support ERP system deployment, and drive automation for sales reporting. This role will focus on ensuring smooth operations, compliance, and continuous improvement across key sales systems to enhance efficiency and decision-making.

Key Responsibilities:
Manage the lifecycle of sales contracts, including incentive calculations and credit note generation.
Support ERP system deployment and integration, collaborating with cross-functional teams.
Automate sales reporting using PowerBI, developing customized dashboards to support decision-making.
Requirements:
Degree in Business Administration, IT, or related field.
2-3 years of experience in sales systems or sales reporting.
Strong communication, problem-solving, and analytical skills.
Proficiency in Microsoft Office, Power BI, and Salesforce systems.
If you find your experience is suitable, we encourage you to apply for this exciting opportunity! Please email us an updated copy of your resume.

We regret that only shortlisted candidates will be notified.

EA License No.: 01C4394

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy",Permanent,4 years exp,"$4,500to$6,000","Integration
Sales
Microsoft Office
Dashboard
sales systems
Salesforce
ERP
ERP Oracle
PowerBI
Microsoft Dynamics
Microsoft Power BI
Salesforce Administrator
System Deployment
Power BI
ERP Software",Posted 07 Apr 2025
MCF-2025-0500679,https://www.mycareersfuture.gov.sg/job/information-technology/business-development-executive-talentsis-0cb82d00be9b8f5cfd54002a928d6160?source=MCF&event=Search,Business Development Executive (Hunter Role),TALENTSIS PTE. LTD.,-,Information Technology,"We are looking for a motivated and target-driven Business Development Executive with a hunter mindset to drive new business growth in the IT System Integrator space. This role is focused on acquiring new clients, identifying opportunities in both public and private sectors, and promoting IT solutions including infrastructure, cloud, cybersecurity, and managed services.
Key Responsibilities:
Prospect and acquire new enterprise customers, with a focus on IT infrastructure, cloud, and cybersecurity solutions.
Conduct cold calls, emails, and meetings to generate leads and pitch relevant services.
Work closely with pre-sales and technical teams to craft tailored solutions for client requirements.
Prepare and present proposals, quotations, and tenders, especially for government or healthcare sector clients.
Develop strong understanding of IT SI offerings to confidently engage with client stakeholders and decision-makers.
Maintain a healthy sales pipeline and provide regular updates using CRM tools.
Stay informed on market trends, emerging technologies, and competitor activity.
Participate in industry events, seminars, and networking sessions to build brand visibility.
Collaborate with internal teams to ensure smooth transition from sales to delivery.
Requirements:
Minimum 3 years of business development or sales experience in the IT System Integration industry preferred.
Proven track record in hunting new accounts and meeting sales targets.
Strong understanding of IT solutions such as infrastructure, cloud platforms (AWS, Azure), cybersecurity, and networking.
Experience handling RFPs, RFQs, and government tenders is a plus.
Excellent communication, negotiation, and interpersonal skills.
Independent, results-oriented, and self-motivated with a strong sense of ownership.
Proficient in CRM tools and Microsoft Office Suite.
Diploma or Degree in IT, Business, or a related field.



(EA Reg No: 20C0312)
Only shortlisted candidates will be notified
Please email a copy of your detailed resume to denise@talentsis.com.sg for immediate processing.","Permanent, Full Time",3 years exp,"$5,000to$6,000","Negotiation
CRM
Lead Generation
Managed Services
Microsoft Office
Microsoft Excel
Azure
Interpersonal Skills
Healthcare
Presales
System Integration
IT Sales
Cold Calling
Networking
Sales and Business Development
Business Development",Posted 07 Apr 2025
MCF-2025-0499609,https://www.mycareersfuture.gov.sg/job/engineering/geotechnical-engineer-persolkelly-singapore-f10e31edd91801f051844cec4e8f5965?source=MCF&event=Search,Geotechnical Engineer,PERSOLKELLY SINGAPORE PTE. LTD.,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",Engineering,"Our client, a well known Consultancy firm in the construction industry is looking for candidates for the roles of Geotechnical Engineer.

Job Description
Design ERSS and conduct impact assessments using PLAXIS
Able to design ECM based on PUB’s requirements
Able to create demolition plans for BCA submission
MAA for SCDF submission
Responsible for LTA Prompt submissions for road works
2) Qualification and Requirement
Degree in Civil Engineering/ Geology
Minimum 2 years of experience
Good working attitude, logical thinking and explanation
Computer skill such as Microsoft Office
Interested candidates who wish to apply for the advertised position, please click on “Apply”. We regret that only shortlisted candidates will be notified.

EA License No.: 01C4394 (PERSOLKELLY SINGAPORE Pte Ltd)

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolkelly.com.sg/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.",Permanent,2 years exp,"$4,500to$5,800","Excavation
Drainage
Microsoft Office
Water
Construction
Geology
Investigation
Engineering Geology
Engineering Design
Tunnelling
Civil Engineering
Instrumentation
Geotechnical Engineering
Soil
Laboratory
Ground Improvement",Posted 07 Apr 2025
