Job Title,Job Title Clean,Job Title Clean 2
Assistant Maintenance Engineer,Assistant Maintenance Engineer,['Assistant Maintenance Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Field Engineer,Field Engineer,['Field Engineer']
Project Engineer (Plumbing & Sanitary),Project Engineer,['Project Engineer']
ENGINEER/ INDUSTRIAL ENGINEER,Engineer/ Industrial Engineer,['ENGINEER/ INDUSTRIAL ENGINEER']
Field Support Engineer,Field Support Engineer,['Field Support Engineer']
Quantity Surveyor,Quantity Surveyor,['Quantity Surveyor']
"Executive, Mechanical Equipment Maintenance (Based in Bukit Merah)",Executive,['Executive']
Executive Engineer (Electrical),Executive Engineer,['Executive Engineer']
Civil/ Structural Associate,Civil/ Structural Associate,['Civil/ Structural Associate']
Shift Process Technician,Shift Process Technician,['Shift Process Technician']
"Engineer, SME Support",Engineer,['Engineer']
Assembly Technician | Woodlands | Semi-con | No Exp Required,No Exp,['Assembly Technician']
ENGINEERING ASSISTANT,Engineering Assistant,['ENGINEERING ASSISTANT']
Technical Officer / Assistant Engineer (East),Technical Officer / Assistant Engineer,['Technical Officer / Assistant Engineer']
Installation Engineer - PLC Programming / Automation / 5 days,Plc Programming,['Installation Engineer']
Process Engineer (PVD),Process Engineer,['Process Engineer']
Senior Service Engineer (Scientific Analytical Instruments),Senior Service Engineer,['Senior Service Engineer']
Civil and Structural Engineer,Civil And Structural Engineer,['Civil and Structural Engineer']
Finance Officer,Finance Officer,['Finance Officer']
Fraud Operations Specialist - MariBank,Fraud Operations Specialist - Maribank,['Fraud Operations Specialist']
Finance Analyst,Finance Analyst,['Finance Analyst']
Payment Operations Executive,Payment Operations Executive,['Payment Operations Executive']
Compliance Officer,Compliance Officer,['Compliance Officer']
"Treasury Officer, Trading Assistant (no experience required, Banking, up to 5k)",Treasury Officer,['Treasury Officer']
Wealth Consultant at HSBC Life (Work-Life Balance and High Commission Role),Wealth Consultant,['Wealth Consultant']
HSBC Investment Sales Consultant (Joining bonus+Laptop on Day 1),Hsbc Investment Sales Consultant,['HSBC Investment Sales Consultant']
"Associate, Client Account (KYC)",Kyc,['Associate']
Trade Finance Operations (Foreign Bank),Trade Finance Operations,['Trade Finance Operations']
"Intern, Financial Crime Compliance (Full time/Part time)",Intern,['Intern']
Junior Quant Researcher,Junior Quant Researcher,['Junior Quant Researcher']
"Treasury Officer (Banking industry, no exp needed, up to $5k) (ID: 668704)",Treasury Officer,['Treasury Officer']
Bank Processing Officer (6 months Contract),Bank Processing Officer,['Bank Processing Officer']
Chief Financial Officer,Chief Financial Officer,['Chief Financial Officer']
URGENT HIRING! | FINANCIAL SERVICES ASSOCIATE | WFH | FLEXIBLE HOURS,Urgent Hiring,[]
BANK TELESALE OFFICER | ATTRACTIVE COMISSION!!!,Bank Telesale Officer,['BANK TELESALE OFFICER']
"Executive, Operations (EDP-Equities)",Executive,['Executive']
"Analyst, Trade Finance Group",Analyst,['Analyst']
#NAME?,#Name,[]
Desk Quant Analyst,Desk Quant Analyst,['Desk Quant Analyst']
"AML Analyst, KYC Reviews up to $6K (MNC/ BANK",Aml Analyst,['AML Analyst']
Executive Assistant,Executive Assistant,['Executive Assistant']
Admin Assistant (Autofinance),Admin Assistant,['Admin Assistant']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Executive Secretary,Executive Secretary,['Executive Secretary']
Support Officer,Support Officer,['Support Officer']
Executive Assistant,Executive Assistant,['Executive Assistant']
Admin Staff,Admin Staff,['Admin Staff']
Admin Assistant,Admin Assistant,['Admin Assistant']
Administrative cum Operations Officer,Administrative Cum Operations Officer,['Administrative cum Operations Officer']
Administration Assistant,Administration Assistant,['Administration Assistant']
Project Admin Executive,Project Admin Executive,['Project Admin Executive']
Admin,Admin,['Admin']
Admin Assistant,Admin Assistant,['Admin Assistant']
Logistics cum Administrative Officer / Executive,Logistics Cum Administrative Officer / Executive,['Logistics cum Administrative Officer / Executive']
Admin Assistant (1 Year Contract),Admin Assistant,['Admin Assistant']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Administrator,Administrator,['Administrator']
Admin Assistant (AMK area),Admin Assistant,['Admin Assistant']
Office Administrator,Office Administrator,['Office Administrator']
Operations Executive,Operations Executive,['Operations Executive']
Admin Assistant (Simple Duties/Data Entry/Inventory) - Sin Ming/Brighthill,Admin Assistant,['Admin Assistant']
Admin Assistant x 1 (Kallang/$2700/VB/Mon-Fri/Office Hour),Admin Assistant,['Admin Assistant']
HR Admin,Hr Admin,['HR Admin']
Admin & Operation Assistant,Admin,['Admin & Operation Assistant']
Admin Assistant (Container operator),Admin Assistant (Container Operator,['Admin Assistant']
Full-Time Office Administrator,Full-Time Office Administrator,['Office Administrator']
Raffles Health Insurance | Group Policy Admin Executive,Group Policy Admin Executive,"['Raffles Health Insurance', 'Admin Executive']"
Account Assistant - AL,Account Assistant - Al,['Account Assistant']
Admin Assistant - AL,Admin Assistant - Al,['Admin Assistant']
Dental Assistant,Dental Assistant,['Dental Assistant']
Clinic Executive,Clinic Executive,['Clinic Executive']
Senior Operations Executive / Healthcare,Senior Operations Executive / Healthcare,['Operations Executive']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Clinic Nurse - Gleneagles Hospital,Clinic Nurse - Gleneagles Hospital,['Clinic Nurse']
Pharmacy Technician,Pharmacy Technician,['Pharmacy Technician']
Trading Manager,Trading Manager,['Trading Manager']
PATIENT SERVICE ASSOCIATE(BONUS/ INCREMENTS) – HIN1,Hin1,['PATIENT SERVICE ASSOCIATE(BONUS/']
Staff Nurse,Staff Nurse,['Staff Nurse']
"Senior / Executive, Outpatient Clinic Operations (Systems and Training)",Senior / Executive,['Senior / Executive']
"Senior / Executive, Outpatient Clinic Operations",Senior / Executive,['Senior / Executive']
Pharmacy Assistant/ Technician,Pharmacy Assistant/ Technician,['Pharmacy Assistant/ Technician']
Medical Laboratory Technologist - Biochemistry Lab,Medical Laboratory Technologist - Biochemistry Lab,['Medical Laboratory Technologist']
Patient Service Officer (Raffles24 Acute & Critical Care),Patient Service Officer,['Patient Service Officer']
Temp Pharmacy Assistant (office hour or Night shift / 5.5days work week ),Temp Pharmacy Assistant,['Temp Pharmacy Assistant']
Hospital Porter - 5 Days Work (Joining Bonus $1000),Hospital Porter - 5 Days Work,['Hospital Porter']
Dental Assistant,Dental Assistant,['Dental Assistant']
Clinic Admin,Clinic Admin,['Clinic Admin']
Community Care Associate,Community Care Associate,['Community Care Associate']
Medical Social Work Assistant,Medical Social Work Assistant,['Medical Social Work Assistant']
Therapy Assistant,Therapy Assistant,['Therapy Assistant']
Patient Service Associate - Operations (SOC),Patient Service Associate - Operations,['Patient Service Associate']
Social Work Associate,Social Work Associate,['Social Work Associate']
"Executive, Operational Development (2-year contract)",Executive,['Executive']
"IT Support, Entry Level, Mon- Fri, Kallang, Bonus, MNC, ",Entry Level,['IT Support']
IT Infrastructure & Cybersecurity Engineer,It Infrastructure & Cybersecurity Engineer,['IT Infrastructure & Cybersecurity Engineer']
Fleet IT Specialist,Fleet It Specialist,['Fleet IT Specialist']
Desktop Support Engineer,Desktop Support Engineer,['Desktop Support Engineer']
(Immediate) IT Support Engineer,(Immediate) It Support Engineer,[]
Desktop Engineer / IT Helpdesk,Desktop Engineer / It Helpdesk,['Desktop Engineer / IT Helpdesk']
Network Engineer (East Region),Network Engineer,['Network Engineer']
IT Support Analyst (Multinational / Up to $5k/ Central) (ID:668624),It Support Analyst,['IT Support Analyst']
SOFTWARE SYSTEM ENGINEER,Software System Engineer,['SOFTWARE SYSTEM ENGINEER']
Civil Engineers,Civil Engineers,['Civil Engineers']
Environmental Health & Safety Specialist (EHS | Manufacturing | West),Environmental Health & Safety Specialist,['Environmental Health & Safety Specialist']
ELECTRICAL SUPERVISOR,Electrical Supervisor,['ELECTRICAL SUPERVISOR']
Service Technician/ Assistant Engineer (Electrical/ Mechanical/ Marine) | 5 Days,Service,['Assistant Engineer']
APAC Operation Director (Data Centre - Critical Infrastructure),Apac Operation Director,['APAC Operation Director']
Project Engineers x 3 (Mechanical / Electrical / No exp welcomed ),Project Engineers,['Project Engineers']
Senior Manufacturing Engineer,Senior Manufacturing Engineer,['Senior Manufacturing Engineer']
Civil Project Engineer  (Main Contractor /Construction),Civil Project Engineer,['Civil Project Engineer  ']
Process Engineer (East Area/MFG Industry/12 hours shift) Entry level are welcome,Process Engineer,['Process Engineer']
Service Engineer (Radio Comms) - Entry level,Service Engineer,['Service Engineer']
Singaporean Only! Engineer Asst (Islandwide/Manufacturing/Cleanroom Environment),Engineer Asst,['Only! Engineer Asst']
Engineering Assistant (Production) / 12- hour shift / Chemical MFG / Pioneer!,Engineering Assistant,['Engineering Assistant']
Assistance Maintenance Engineer [Waste Management] - West,Assistance Maintenance Engineer,['Assistance Maintenance Engineer']
"Chemical Technician X 3(No Exp Required, Nitec Dip/CPT, JURONG ISLAND)",Chemical Technician X 3(No,['Chemical Technician']
Electronics Manufacturing Engineer,Electronics Manufacturing Engineer,['Electronics Manufacturing Engineer']
Application Engineer | Open to Grad no experience,Application Engineer |,['Application Engineer']
Senior Accounts Associate  (Banking Ind),Banking Ind,['Senior Accounts Associate  ']
Credit Analyst,Credit Analyst,['Credit Analyst']
Investment Advisor,Investment Advisor,['Investment Advisor']
Executive Assistant,Executive Assistant,['Executive Assistant']
Public and Administration Affairs,Public And Administration Affairs,['Public and Administration Affairs']
Admin Support / Executive [Entry Level | Multiple Location],[Entry Level,['Admin Support / Executive']
Temp Admin Assistant – Healthcare | No Experience Required,Temp Admin Assistant,['Temp Admin Assistant']
CUSTOMERS RELATION OFFICER,Customers Relation Officer,['CUSTOMERS RELATION OFFICER']
Admin Assistant - Kranji (NO EXP REQUIRE),Admin Assistant,['Admin Assistant']
Admin Executive Assistant (Healthcare),Admin Executive Assistant,['Admin Executive Assistant']
"Admin, Executive Assistant (Healthcare)",Admin,['Admin']
PA cum Administrative Executive,Pa Cum Administrative Executive,['PA cum Administrative Executive']
Operation Executive (Healthcare),Operation Executive,['Operation Executive']
Operations Executive (Healthcare),Operations Executive,['Operations Executive']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Assistant Care Coordinator (Govt Healthcare | West),Assistant Care Coordinator,['Assistant Care Coordinator']
Healthcare Assistant (Multiple locations available ),Healthcare Assistant,['Healthcare Assistant']
Pharmacy Assistant / Technician,Pharmacy Assistant / Technician,['Pharmacy Assistant']
Senior Executive (Home Medical),Senior Executive,['Senior Executive']
Therapy Assistant (Healthcare Therapy Support),Therapy Assistant,['Therapy Assistant']
Patient Service Associate (Office Hours),Patient Service Associate,['Patient Service Associate']
Associate Engineer (End User Support),Associate Engineer,['Associate Engineer']
IT Executive,It Executive,['IT Executive']
Network Engineer,Network Engineer,['Network Engineer']
Senior Engineer (Server & Database Administrator),Senior Engineer (Server & Database Administrator,['Senior Engineer']
Associate Engineer (NOC)- Shift Hour,Associate Engineer,['Associate Engineer']
Senior Engineer (Cyber Security),Senior Engineer,['Senior Engineer']
IT Support Executive / IT Support Engineer,Support Executive,['IT Support Executive / IT Support Engineer']
IT Engineer [No Experience Required | Up to $5K],It Engineer,['IT Engineer']
"Cyber Security Engineer (Governance, Risk & Compliance)",Cyber Security Engineer,['Cyber Security Engineer']
Associate Engineer (Enterprise Applications)- 1 year contract,Associate Engineer,['Associate Engineer']
"Technical Support Engineer | $ 3,600 | Central",Technical Support Engineer |,['Technical Support Engineer']
Assistant Project Manager - DSC/MC,Assistant Project Manager - Dsc/Mc,['Assistant Project Manager']
Data Center Technician - 12 months contract,Data Center Technician,['Data Center Technician']
ERP Business Analyst (Health Services),Erp Business Analyst,['ERP Business Analyst']
Fleet IT Specialist,Fleet It Specialist,['Fleet IT Specialist']
IT Support Technician,Support Technician,['IT Support Technician']
Electrical Engineering Assistant,Electrical Engineering Assistant,['Electrical Engineering Assistant']
"Aircraft Cabin Trainee Technician (Changi, Shiftwork)",Aircraft Cabin Trainee Technician,['Aircraft Cabin Trainee Technician']
FIELD SERVICE ENGINEER,Field Service Engineer,['FIELD SERVICE ENGINEER']
Design Engineer (Electrical/Switchboard/UPS),Design Engineer,['Design Engineer']
Electrical Technician (Up $3.2k+AWS+VB+OT),Electrical Technician,['Electrical Technician']
Electrical Design Drafter (5 days/Up $3500),Electrical Design Drafter,['Electrical Design Drafter']
Process Engineer [East | No Experience Required | Up to $5k],Process Engineer,['Process Engineer']
Production Technician,Production Technician,['Production Technician']
Associate Engineer (Non-Residential),Associate Engineer,['Associate Engineer']
Structure Engineer,Structure Engineer,['Structure Engineer']
Field Engineer [No Experience Required | Manufacturing | Up to $5k + Bonus],[No Experience,['Field Engineer']
Engineer (Civil & Structural),Engineer,['Engineer']
Production Engineer (MNC I Manufacturing Process Flow),Production Engineer,['Production Engineer']
Field Service Engineer (5D / Entry Level),Field Service Engineer,['Field Service Engineer']
Quotation Specialist (Mechanical Engineer) #74041,Quotation Specialist,['Quotation Specialist']
Production/Engineering Assistant (Singaporean/PR Only),Production/Engineering Assistant,['Production/Engineering Assistant']
Engineering Assistant (Logistics & Automation),Engineering Assistant,['Engineering Assistant']
Assistant Electrical Engineer / Technician,Assistant Electrical Engineer / Technician,['Assistant Electrical Engineer']
Production Technician (Junior) – Mass Hiring | AWS - 5 Days | Immediate Hiring,Production Technician,['Production Technician']
"Debug / Test / Engineering Technician (MNC / East / Salary UP 3,200)",Debug / Test / Engineering Technician,['Debug / Test / Engineering Technician']
Assembly Technician (Automation / Mechanical / AutoCAD / 5 Days),Assembly Technician,['Assembly Technician']
Project & Maintenance Engineer (Mechanical I Maintenance Management System),Mechanical I Maintenance Management System,['Project & Maintenance Engineer']
Project Engineer (Architectural I Structural I Civil),Project Engineer,['Project Engineer']
Facility Maintenance Engineer (HSE / Building Services / Factory),Facility Maintenance Engineer,['Facility Maintenance Engineer']
Test Technician (Tampinies / Up to $3000 / Fast Hire),/ Fast Hire,['Test Technician']
"BANKING SPECIALIST (UP $2.8 + BONUS), 1 YR MIN, CENTRAL, ENTRY LEVEL",Banking Specialist,['BANKING SPECIALIST']
Banking Admin Support - (Insurance|Up to $6k),Banking Admin Support,['Banking Admin Support']
Accounts Executive $3200 (ID: 579407),Executive,['Accounts Executive']
Product Risk Analyst (1 year renewable contract),Product Risk Analyst,['Product Risk Analyst']
Credit Controller Officer/ Executive - JL18,Credit Controller Officer/ Executive - Jl18,['Credit Controller Officer/ Executive']
1 Year Contract Senior KYC Compliance Analyst (Corporate Banking) #BLM,(Corporate Banking,['KYC Compliance Analyst']
Business Finance Manager,Business Finance Manager,['Business Finance Manager']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Admin Executive (Coastal),Admin Executive,['Admin Executive']
Admin Assistant,Admin Assistant,['Admin Assistant']
Administrative Executive,Administrative Executive,['Administrative Executive']
LOGISTIC ADMIN ASSISTANT | WEST | $14/HR | 5 DAYS,Logistic,['LOGISTIC ADMIN ASSISTANT']
Executive / Senior Executive – Administration ( Procurement Administrator),Executive / Senior Executive,['Executive']
"Assistant Manager, Post Experience Programs (12-month contract)",Assistant Manager,['Assistant Manager']
Sales Admin (Central/West | Entry Level | up to $3500) ,Sales Admin,['Sales Admin']
Admin Executive / Office Secretary [East | Up to $3.5k Basic],Admin Executive / Office Secretary,['Admin Executive / Office Secretary']
Admin Executive,Admin Executive,['Admin Executive']
Executive Assistant (Legal Firm),Executive Assistant,['Executive Assistant']
Logistics Admin,Logistics Admin,['Logistics Admin']
Accounts Assistant / Admin Assistant (5 days / East / Training Provided),Assistant / Admin Assistant,"['Accounts Assistant', 'Admin Assistant']"
Customer Service Executive (Admin / Office Support / West),Customer Service Executive,['Customer Service Executive']
Sales Admin Assistant (5 days / West / Purchase Order / Industrial),Sales Admin Assistant,['Sales Admin Assistant']
Admin Executive Assistant,Admin Executive Assistant,['Admin Executive Assistant']
Admin Executive [Bank] [Islandwide locations & departments],Admin Executive,['Admin Executive']
"Senior / Associate Executive, Medical Affairs (Admin Support)",Senior / Associate Executive,['Senior / Associate Executive']
Healthcare Assistant #SEEKBetter,Healthcare Assistant,['Healthcare Assistant']
Clinical Sales Executive,Clinical Sales Executive,['Clinical Sales Executive']
Executive Assistant (Medical Affairs),Executive Assistant,['Executive Assistant']
"Executive, (Clinic Operations)",Executive,['Executive']
"Manager/ Asst Director, Ops (PEARL)",Manager/ Asst Director,['Manager/ Asst Director']
Orthopaedic Diagnostic Technician,Orthopaedic Diagnostic Technician,['Orthopaedic Diagnostic Technician']
Healthcare Assistant (  Up to $2600 / 5 days / East),Healthcare Assistant,['Healthcare Assistant']
"Sr Executive, Operations (Medicine)",Sr Executive,['Sr Executive']
Dental Surgery Assistant,Dental Surgery Assistant,['Dental Surgery Assistant']
Senior Occupational Therapist*(7779),Senior Occupational Therapist*(7779,['Senior Occupational']
Research Assistant (Public Health),Research Assistant,['Research Assistant']
System Engineer,System Engineer,['System Engineer']
IT Field Support Engineer - Singapore,It Field Support Engineer - Singapore,['IT Field Support Engineer']
"Desktop Engineer (IMAC Support) - [Entry Level ,Training provided ]",Desktop Engineer,['Desktop Engineer']
Entry Level IT Support (Training Provided),Entry Level It Support,['Entry Level IT Support']
"Desktop Support Engineer (Office hr, Up to $4,000, 1 year) ",Desktop Support Engineer,['Desktop Support Engineer']
Tier 2 Network Support Engineer,Tier 2 Network Support Engineer,['Tier 2 Network Support Engineer']
Systems Specialist (SOC) | Yearly Renewable Contract | Up to $8.9k,Systems Specialist,['Systems Specialist']
IT Executive,It Executive,['IT Executive']
IT Engineer / Technology Specialist,It Engineer / Technology Specialist,['IT Engineer']
System Engineer (WebSphere) | Yearly Renewable Contract | Up to $7.6k,System Engineer,['System Engineer']
IT Infrastructure and Security Specialist,It Infrastructure And Security Specialist,['IT Infrastructure and Security Specialist']
System Administration Engineer,System Administration Engineer,['System Administration Engineer']
IT Desk Support - Min 1 year Experience,Desk Support,['IT Desk Support']
Data Center Technician,Data Center Technician,['Data Center Technician']
IT Administrator,It Administrator,['IT Administrator']
BUSINESS ANALYST | 6 Months Contract | Up to $6800,Business Analyst | 6 Months Contract,['BUSINESS ANALYST']
Solutions Design & Implementation Specialist,Solutions Design & Implementation Specialist,['Solutions Design & Implementation Specialist']
"IT Engineer (Server  & Database/VMware, Windows Server, MSSQL / In-house Role)",It Engineer,['IT Engineer']
Assistant IT Manager (IT Infrastructure),Assistant It Manager,['Assistant IT Manager']
Assistant Manager (Digitalisation),Assistant Manager,['Assistant Manager']
Network Support Engineer (Ref 25747),Network Support Engineer,['Network Support Engineer']
Field Engineer,Field Engineer,['Field Engineer']
Sr Associate Engineer Manufacturing Systems Engineering,Sr Associate Engineer Manufacturing Systems Engineering,['Sr Associate Engineer']
Data Center Operator x 7,Data Center Operator,['Data Center Operator']
Head of IT APAC (consumer goods),It Apac,['Head of IT APAC']
Junior IT Executive,Junior It Executive,['Junior IT Executive']
SAP SD & PS Functional Support (1-year contract),Sap Sd,['SAP SD & PS Functional Support']
Business Development Manager,Business Development Manager,['Business Development Manager']
"Regional IT Specialist (Network, CCNA)",Regional It Specialist,['Regional IT Specialist']
NetSuite Developer,Netsuite Developer,['NetSuite Developer']
Product Support Engineer,Product Support Engineer,['Product Support Engineer']
Analytics Data Engineer,Analytics Data Engineer,['Analytics Data Engineer']
IT Project Manager,It Project Manager,['IT Project Manager']
"Enterprise Project Delivery, Associate Director ",Enterprise Project Delivery,['Enterprise Project Delivery']
IT/Data Centre Technician (Server/Hard Disk) -Up to $3600 | WEST | ALL WELCOME,It/Data Centre Technician,['IT/Data Centre Technician']
Application Engineer,Application Engineer,['Application Engineer']
Operation Engineer,Operation Engineer,['Operation Engineer']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
Projects & Services Engineer,Projects & Services Engineer,['Projects & Services Engineer']
Maintenance Mechanical Supervisor,Maintenance Mechanical Supervisor,['Maintenance Mechanical Supervisor']
Engineer,Engineer,['Engineer']
Assistant Project Engineer,Assistant Project Engineer,['Assistant Project Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Installation Engineer,Installation Engineer,['Installation Engineer']
Technical Officer (Technical Support),Technical Officer,['Technical Officer']
Assistant Engineer (No Exp Req),Assistant Engineer,['Assistant Engineer']
Operations Technical Officer (Contract),Operations Technical Officer,['Operations Technical Officer']
Assistant Maintenance Engineer,Assistant Maintenance Engineer,['Assistant Maintenance Engineer']
Maintenance Technician,Maintenance Technician,['Maintenance Technician']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
Automation Assistant Engineer / Engineer,Automation Assistant Engineer / Engineer,['Automation Assistant Engineer / Engineer']
Project Engineer,Project Engineer,['Project Engineer']
Engineering Specialist (2 Years' Contract),Engineering Specialist,['Engineering Specialist']
Mechanical Engineer Intern,Mechanical Engineer Intern,['Mechanical Engineer Intern']
Technician/Duty Engineer,Technician/Duty Engineer,['Technician/Duty Engineer']
Junior Field Engineer (Contract),Junior Field Engineer,['Junior Field Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Electrical Technician,Electrical Technician,['Electrical Technician']
Electrical Drafter (E&E / No Experience Required),Electrical Drafter,['Electrical Drafter']
Technical Officer/Technician (Tech Support- Investigation & Maintenace),Technical Officer/Technician,['Technical Officer/Technician']
Assistant Engineer (Air-Con) (Valid Class 3 License),Assistant Engineer,['Assistant Engineer']
Service Technician or Specialist,Service Technician,['Service Technician']
Field Service Engineer (Semiconductor Equipment/ No experience required),Field Service Engineer,['Field Service Engineer']
Project Engineer,Project Engineer,['Project Engineer']
"ENGINEER, PROJECT",Engineer,['ENGINEER']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
Electrical Engineer (Must have Drafting-AutoCAD/Class 3 driving) - ALL WELCOME,Electrical Engineer,['Electrical Engineer']
Assistant Metallurgist,Assistant Metallurgist,['Assistant Metallurgist']
Assistant Facilities Engineer/Facilities Supervisor (M&E),Assistant Facilities Engineer/Facilities Supervisor,['Assistant Facilities Engineer/Facilities Supervisor']
Engineering Assistant,Engineering Assistant,['Engineering Assistant']
Project Engineer ( Hotel & Building ),Project Engineer,['Project Engineer']
SENIOR/EXECUTIVE ENGINEER,Senior/Executive Engineer,['SENIOR/EXECUTIVE ENGINEER']
Project Cost Estimator (E&E| No Experience Required),Project Cost Estimator,['Project Cost Estimator']
R&D Engineer (Mechanical Design),R&D Engineer,['R&D Engineer']
Geologist,Geologist,['Geologist']
Project Engineer,Project Engineer,['Project Engineer']
Project Engineer (M&E),Project Engineer,['Project Engineer']
Service Engineer (Vacuum Pump/Up $3500+AWS+VB),Service Engineer,['Service Engineer']
Technician (Jurong Island/E&I/Up $3.7k),(Jurong Island/E&I,['Technician']
Project Engineer (No Experience Req),Project Engineer,['Project Engineer']
Service Engineer,Service Engineer,['Service Engineer']
Electrical Engineer (Shipyard),Electrical Engineer,['Electrical Engineer']
Technical Services Engineer (Based in Jurong Island),Technical Services Engineer,"['Technical Services Engineer', 'Jurong Island']"
Project Engineer,Project Engineer,['Project Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Technician (Tankfarm/Day shift/$2800),(Tankfarm/Day Shift/$2800,['Technician']
Drafter,Drafter,['Drafter']
Drafter,Drafter,['Drafter']
Project Engineer,Project Engineer,['Project Engineer']
M&E Coordinator,M&E Coordinator,['M&E Coordinator']
Senior / Engineer MEP,Senior / Engineer Mep,['Senior / Engineer MEP']
"Engine Shop Technician (Build, Strip and Balancing)",Engine Shop Technician,['Engine Shop Technician']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
Electrical Technician (MNC/Good Benefit),Electrical Technician,['Electrical Technician']
Equipment Service Engineer [ Entry Level | Semicon],Equipment Service Engineer,['Equipment Service Engineer']
Associate Engineer,Associate Engineer,['Associate Engineer']
Draughtsman,Draughtsman,['Draughtsman']
Process Engineer [Semicon | Entry Level],Process Engineer,['Process Engineer']
Field Service Assistant Engineer (Field Instrumentation Products) (ID: 19522),Field Service Assistant Engineer,['Field Service Assistant Engineer']
Application Engineer (Daikin Solutions- BMS),Application Engineer,['Application Engineer']
TECHNICAL & SERVICE ENGINEER (Charger & Solar),Technical,['TECHNICAL & SERVICE ENGINEER']
Technician (Special Treatment Centre),(Special Treatment Centre,['Technician']
M&E Manager/Assistant Manager (Industrial Asset Development),M&E Manager/Assistant Manager,['M&E Manager/Assistant Manager']
SME Business Consultant,Sme Business Consultant,['SME Business Consultant']
Operations Executive (LNG),Operations Executive,['Operations Executive']
Night Shift Dealer,Night Shift Dealer,['Night Shift Dealer']
Equity Sales Assistant,Equity Sales Assistant,['Equity Sales Assistant']
"[Billing & Settlement Executive] Up to $4500, Somerset",[Billing & Settlement Executive,[]
Investment Management Trainee,Investment Management Trainee,['Investment Management Trainee']
Investment Fund Executive,Investment Fund Executive,['Investment Fund Executive']
Compliance Officer (Insurance) JM50,Insurance,['Compliance Officer']
Settlement Officer/Manager,Settlement Officer/Manager,['Settlement Officer/Manager']
Trade Operation Executive,Trade Operation Executive,['Trade Operation Executive']
Wealth Management Intern,Wealth Management Intern,['Wealth Management Intern']
"VP, Specialist Technology Risk (Governance, Framework & Reporting), Risk Managem",Vp,['VP']
"Treasury Officer, Trading Assistant (Banking Industry/ up to $5k) (ID: 668704)",Treasury Officer,['Treasury Officer']
Relationship Manager (Auto),Relationship Manager,['Relationship Manager']
Operation Analyst - Remittance  (Banking Industry/ East /Up to 3500SGD) #WorkNow,Operation Analyst - Remittance,['Operation Analyst']
Treasury Officer (OPEN TO FRESH GRADS),Treasury Officer,['Treasury Officer']
Assistant Relationship Manager (ID: 574104),Assistant Relationship Manager,['Assistant Relationship Manager']
Treasury Manager,Treasury Manager,['Treasury Manager']
Financial Banker,Financial Banker,['Financial Banker']
"Assistant Vice President, Corporate Finance",Assistant Vice President,['Assistant Vice President']
Wealth Management Associate,Wealth Management Associate,['Wealth Management Associate']
Client Service Executive( Treasures Bank/ Resume Enhancer)/ Central,Client Service Executive,['Client Service Executive']
Frontline Bank Officer ( World Best's Bank/ Resume Booster),Frontline Bank Officer,['Frontline Bank Officer']
Investment Fund Consultant,Investment Fund Consultant,['Investment Fund Consultant']
Office Administrator (Contract),Office Administrator,['Office Administrator']
Admin Assistant (Billing),Admin Assistant,['Admin Assistant']
Buying Operations Admin,Operations Admin,['Operations Admin']
Office Assistant,Office Assistant,['Office Assistant']
Admin Officer/Executive (Changi Business Park),Admin Officer/Executive,['Admin Officer/Executive']
Centre Admin Officer,Centre Admin Officer,['Centre Admin Officer']
Administrative Executive,Administrative Executive,['Administrative Executive']
Admin & HR Officer,Admin,['Admin & HR Officer']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Internship for Business Studies / Administration Students,Internship,['Internship for Business Studies / Administration Students']
Admin Assistant,Admin Assistant,['Admin Assistant']
Junior Admin Assistant,Junior Admin Assistant,['Junior Admin Assistant']
"Sales Admin Executive (Immediate/ Joo Koon/ 5 Days/ Up to $3,500)",Sales Admin Executive,['Sales Admin Executive']
Office Admin,Office Admin,['Office Admin']
Clinic Assistant (O&G),Clinic Assistant,['Clinic Assistant']
Admin Coordinator,Admin Coordinator,['Admin Coordinator']
Facilities & Admin Officer (Facilities Maintenance + Office Admin work) DP20,Facilities,['Admin Officer']
ADMIN EXECUTIVE,Admin Executive,['ADMIN EXECUTIVE']
"Assistant Executive, Active Ageing Centre",Assistant Executive,['Assistant Executive']
Project Officer (Admin Role),Project Officer,['Project Officer']
Admin Assistant,Admin Assistant,['Admin Assistant']
Admin Assistant (Data Entry/Simple Duties) - Transport Pick Up,Admin Assistant,['Admin Assistant']
Admin cum Customer Service Officer Needed @ Changi Animal and Plant Quarantine,Admin Cum Customer Service Officer,['Admin cum Customer Service Officer Needed']
